urgency_score,domain_similarity_score,financial_keyword_count,request_type,sender_anomaly,sender_name,sender_profile,email_body,is_ato,label
0.44888011966031494,0.7514379330856781,2,1,1,Bob Finance,Manager_Casual,"Hi,

Pls update your email credentials at https://secure-commpany.com

Thanks! Need this done ASAP.",0,1
0.397695066348745,0.30548018468028615,1,1,0,John Executive,CEO_Formal,"Dear,

Please update your email credentials at https://secure-companyy.com

Appreciation for your prompt action.",0,1
0.4410093570584472,0.5203696706537146,1,0,1,John Executive,CEO_Formal,"Dear,

Please process payment of $33657 to invoice INV-40495

Kindly arrange this at your earliest convenience.",0,1
0.2312284304153601,0.925072890542865,3,2,0,Bob Finance,Manager_Casual,"Team,

Can you initiate a wire of $245514? Account: ****1234

Thanks for your attention to this matter.",1,1
0.39862727046216456,0.751132760662182,1,2,0,John Executive,CEO_Formal,"Hello,

I need a wire transfer of $188389 sent to ****1234 urgently

Thanks for your attention to this matter.",1,1
0.41671574639132675,0.7577411652838908,0,2,0,John Executive,CEO_Formal,"Dear,

Wire transfer needed: $63587 to ****1234

Please confirm once processed.",0,1
0.4447744632431579,0.7086341206787946,2,1,0,Jane Manager,Manager_Casual,"Hi,

Update required at https://secure-commpany.com - use your current password

Appreciate your quick response!",0,1
0.7768731673383684,0.5887228401421932,2,1,1,John Executive,CEO_Formal,"Greetings,

Please update your email credentials at https://secure-commpany.com

Please confirm once processed.",0,1
0.3986446181665866,0.8418935471158323,2,2,0,Bob Finance,Manager_Casual,"Good day,

Wire transfer needed: $312698 to ****1234

Thanks! Need this done ASAP.",0,1
0.29319088178343405,0.8416609564021992,2,2,0,Bob Finance,Manager_Casual,"Hi,

Pls arrange a wire transfer of $356692 to the following account: ****1234

Thanks! Need this done ASAP.",0,0
0.4315055146895596,0.41516552576378923,3,2,1,Jane Manager,Manager_Casual,"Hi,

Can you initiate a wire of $464286? Account: ****1234

This is urgent! Pls handle immediately.",0,1
0.2860515112399918,0.635660423715069,1,0,0,Jane Manager,Manager_Casual,"Good day,

Payment due: $88320 for services

Appreciate your quick response!",0,0
0.2646180272624935,0.7065646706609082,3,1,1,Jane Manager,Manager_Casual,"Hello,

Update required at https://secure-companyy.com - use your current password

Thanks! Need this done ASAP.",0,1
0.5982858544025478,0.5394368033231938,0,1,0,Bob Finance,Manager_Casual,"Hello,

Your credentials need updating - visit https://secure-commpany.com

Critical! Send confirmation once complete.",0,1
0.42856872891429415,0.5890756248277915,2,2,0,Jane Manager,Manager_Casual,"Hello,

Wire transfer needed: $451897 to ****1234

Pls confirm once processed.",1,1
0.31840474371178296,0.5198931175616088,2,2,1,John Executive,CEO_Formal,"Dear,

Wire transfer needed: $220325 to ****1234

Thank you for your attention to this matter.",0,1
0.3421618596085547,0.8132399177245754,1,1,0,John Executive,CEO_Formal,"Dear,

Update required at https://secure-company.com - use your current password

Kindly arrange this at your earliest convenience.",0,0
0.395111201030072,0.7417715468594404,3,0,0,Bob Finance,Manager_Casual,"Team,

Payment due: $89259 for services

Thanks for your attention to this matter.",1,1
0.3204266027061722,0.7681591476045215,2,1,0,John Executive,CEO_Formal,"Hello,

Update required at https://secure-commpany.com - use your current password

Appreciation for your prompt action.",1,1
0.35557998908726474,0.8916913232451109,0,0,0,Jane Manager,Manager_Casual,"Hello,

Need payment approval for $71784

This is urgent! Pls handle immediately.",0,1
0.6239507931151472,0.23033994716741854,2,1,1,John Executive,CEO_Formal,"Dear,

Your credentials need updating - visit https://secure-commpany.com

Please confirm once processed.",0,1
0.1351849072920645,0.6511457822536105,0,0,0,Jane Manager,Manager_Casual,"Team,

Payment due: $74352 for contract

This is urgent! Pls handle immediately.",0,0
0.2083367264586859,0.8374815242127759,2,2,0,Bob Finance,Manager_Casual,"Good day,

Wire transfer needed: $68485 to ****1234

Appreciate your quick response!",0,0
0.40604370538415885,0.9559393189642644,3,0,0,Jane Manager,Manager_Casual,"Hello,

Payment due: $5425 for services

Pls confirm once processed.",1,1
0.5835334797712932,0.8849911198027949,1,2,0,Bob Finance,Manager_Casual,"Good day,

Can you initiate a wire of $90131? Account: ****1234

Appreciate your quick response!",0,1
0.47999103619678324,0.6853543663435586,2,2,1,John Executive,CEO_Formal,"Dear,

Wire transfer needed: $266170 to ****1234

Please confirm once processed.",0,1
0.36192829240655766,0.625491944075074,2,0,1,John Executive,CEO_Formal,"Greetings,

Can you approve the payment of $36385?

Please confirm once processed.",0,1
0.3887326558165352,0.844589929947036,3,0,0,John Executive,CEO_Formal,"Greetings,

Please process payment of $74822 to invoice INV-26483

Appreciation for your prompt action.",0,1
0.2786145074108346,0.7189022801637523,0,0,0,Bob Finance,Manager_Casual,"Hello,

Can you approve the payment of $74163?

Thanks! Need this done ASAP.",0,1
0.7337430279005762,0.7895913391494198,3,1,1,Bob Finance,Manager_Casual,"Hello,

Update required at https://secure-commpany.com - use your current password

Appreciate your quick response!",0,1
0.6343805889830294,0.5575073000273992,2,0,0,Jane Manager,Manager_Casual,"Team,

Pls process payment of $37493 to invoice INV-39451

Appreciate your quick response!",0,1
0.461422089200724,0.7516392115162185,3,1,0,John Executive,CEO_Formal,"Dear,

Your credentials need updating - visit https://secure-companyy.com

Please confirm once processed.",0,1
0.38711754233682777,0.5985135672576364,1,0,1,Bob Finance,Manager_Casual,"Hi,

Need payment approval for $13834

This is urgent! Pls handle immediately.",0,0
0.44351868560049174,0.6608453054364642,2,2,0,Bob Finance,Manager_Casual,"Hello,

Wire transfer needed: $360737 to ****1234

Critical! Send confirmation once complete.",0,0
0.6295475023742197,0.8123483003482261,5,0,0,John Executive,CEO_Formal,"Dear,

Payment due: $36850 for consulting

Kindly arrange this at your earliest convenience.",0,1
0.23424511671490328,0.5525212359786091,4,1,1,John Executive,CEO_Formal,"Dear,

Verify your account at https://secure-commpany.com immediately

Appreciation for your prompt action.",0,1
0.1621176197193514,0.6610254764301748,3,1,0,Jane Manager,Manager_Casual,"Team,

Pls update your email credentials at https://secure-company.com

This is urgent! Pls handle immediately.",0,0
0.314968895870785,0.8859130772207202,3,2,0,John Executive,CEO_Formal,"Team,

Wire transfer needed: $429741 to ****1234

Pls confirm once processed.",1,1
0.31888473137858064,0.6476014842269558,1,2,1,John Executive,CEO_Formal,"Dear,

Can you initiate a wire of $291168? Account: ****1234

Appreciation for your prompt action.",0,1
0.4878268452082771,0.8730006773351545,3,0,0,John Executive,CEO_Formal,"Greetings,

Need payment approval for $41509

Please confirm once processed.",0,0
0.1897148937541577,0.6231397784450846,1,2,0,Jane Manager,Manager_Casual,"Hi,

Pls arrange a wire transfer of $351911 to the following account: ****1234

This is urgent! Pls handle immediately.",0,0
0.0956716676338239,0.9575072667433326,1,0,1,John Executive,CEO_Formal,"Dear,

Need payment approval for $58269

Kindly arrange this at your earliest convenience.",0,1
0.4766906736294103,0.6591306927622126,4,0,0,Jane Manager,Manager_Casual,"Hi,

Need payment approval for $54672

Appreciate your quick response!",0,0
